iter	Passed	Remaining
0	1	176
1	3	162
2	4	157
3	6	152
4	7	149
5	9	153
6	13	173
7	15	174
8	16	167
9	17	161
10	19	156
11	20	152
12	22	149
13	23	146
14	25	145
15	27	145
16	29	144
17	31	142
18	32	139
19	34	136
20	35	134
21	37	132
22	38	130
23	40	128
24	42	128
25	44	126
26	46	124
27	47	122
28	49	120
29	50	118
30	52	116
31	53	114
32	55	113
33	57	111
34	59	109
35	60	108
36	62	105
37	63	103
38	65	101
39	66	100
40	68	98
41	70	96
42	72	95
43	73	93
44	75	91
45	76	89
46	78	88
47	79	86
48	81	84
49	82	82
50	84	81
51	86	80
52	88	78
53	90	77
54	92	75
55	93	73
56	95	71
57	96	70
58	98	68
59	100	67
60	102	65
61	104	64
62	106	62
63	107	60
64	109	58
65	111	57
66	112	55
67	115	54
68	118	53
69	120	51
70	121	49
71	123	48
72	125	46
73	126	44
74	128	42
75	132	41
76	134	40
77	136	38
78	137	36
79	138	34
80	140	32
81	142	31
82	143	29
83	145	27
84	147	26
85	149	24
86	150	22
87	152	20
88	153	19
89	155	17
90	156	15
91	158	13
92	160	12
93	161	10
94	163	8
95	165	6
96	167	5
97	168	3
98	170	1
99	171	0
