iter	Passed	Remaining
0	136	136817
1	139	69826
2	143	47555
3	147	36701
4	149	29778
5	151	25141
6	153	21767
7	154	19215
8	156	17264
9	158	15719
10	160	14396
11	161	13296
12	162	12359
13	164	11559
14	165	10850
15	166	10228
16	167	9678
17	168	9198
18	169	8763
19	171	8385
20	172	8032
21	173	7703
22	174	7402
23	175	7126
24	176	6870
25	176	6630
26	177	6407
27	178	6199
28	179	6007
29	180	5828
30	181	5659
31	181	5503
32	182	5355
33	183	5217
34	184	5089
35	185	4973
36	186	4863
37	187	4752
38	188	4648
39	189	4549
40	190	4452
41	191	4362
42	192	4275
43	192	4190
44	193	4110
45	194	4037
46	195	3966
47	196	3896
48	197	3830
49	198	3767
50	199	3707
51	200	3650
52	201	3600
53	202	3546
54	203	3492
55	204	3441
56	204	3390
57	205	3342
58	206	3295
59	207	3250
60	208	3211
61	209	3170
62	210	3130
63	211	3091
64	212	3053
65	213	3017
66	214	2985
67	215	2953
68	216	2920
69	217	2887
70	218	2855
71	219	2823
72	219	2792
73	220	2761
74	221	2732
75	222	2706
76	223	2678
77	224	2651
78	225	2624
79	225	2598
80	226	2573
81	227	2549
82	228	2522
83	229	2500
84	230	2480
85	231	2460
86	232	2438
87	233	2416
88	234	2395
89	234	2374
90	235	2355
91	236	2335
92	237	2316
93	238	2297
94	239	2278
95	240	2260
96	240	2241
97	241	2224
98	242	2209
99	243	2194
100	244	2178
101	245	2162
102	246	2146
103	247	2131
104	248	2115
105	248	2099
106	249	2084
107	250	2069
108	251	2055
109	252	2041
110	253	2027
111	253	2013
112	254	2000
113	255	1986
114	256	1973
115	257	1962
116	258	1950
117	259	1938
118	260	1928
119	261	1917
120	262	1905
121	263	1892
122	264	1885
123	265	1874
124	266	1863
125	267	1852
126	267	1840
127	268	1829
128	269	1819
129	270	1808
130	271	1798
131	272	1790
132	273	1781
133	274	1773
134	275	1764
135	276	1754
136	277	1745
137	278	1736
138	278	1727
139	279	1718
140	280	1709
141	281	1698
142	282	1690
143	282	1682
144	283	1673
145	284	1665
146	285	1657
147	286	1649
148	287	1643
149	288	1636
150	289	1628
151	290	1621
152	291	1614
153	292	1606
154	293	1599
155	294	1591
156	295	1584
157	295	1576
158	296	1569
159	297	1562
160	298	1553
161	298	1546
162	299	1539
163	300	1532
164	301	1527
165	303	1522
166	304	1517
167	305	1511
168	306	1505
169	306	1498
170	307	1492
171	308	1485
172	309	1479
173	310	1473
174	311	1468
175	312	1462
176	313	1457
177	314	1451
178	315	1445
179	316	1441
180	317	1438
181	319	1437
182	320	1432
183	321	1427
184	322	1421
185	323	1415
186	324	1410
187	325	1404
188	325	1398
189	326	1392
190	327	1387
191	328	1382
192	329	1377
193	331	1376
194	333	1377
195	334	1372
196	335	1366
197	336	1361
198	336	1356
199	337	1351
200	338	1346
201	339	1341
202	340	1336
203	341	1331
204	342	1326
205	343	1322
206	343	1317
207	344	1312
208	346	1312
209	347	1308
210	348	1304
211	349	1299
212	350	1295
213	351	1290
214	352	1286
215	353	1282
216	354	1277
217	355	1273
218	355	1269
219	356	1264
220	357	1260
221	358	1256
222	359	1251
223	360	1249
224	363	1252
225	364	1249
226	365	1245
227	366	1241
228	367	1237
229	368	1233
230	369	1228
231	369	1224
232	370	1220
233	371	1216
234	372	1212
235	373	1208
236	374	1205
237	376	1204
238	378	1204
239	379	1200
240	379	1196
241	380	1192
242	381	1188
243	382	1184
244	383	1180
245	383	1176
246	384	1172
247	385	1169
248	386	1165
249	387	1161
250	388	1158
251	389	1154
252	390	1151
253	391	1149
254	392	1146
255	393	1142
256	394	1139
257	395	1136
258	395	1132
259	396	1129
260	397	1125
261	398	1122
262	399	1118
263	400	1115
264	401	1112
265	402	1109
266	402	1106
267	403	1102
268	404	1100
269	406	1099
270	407	1097
271	408	1094
272	409	1091
273	410	1088
274	411	1084
275	412	1081
276	413	1078
277	414	1075
278	415	1073
279	416	1071
280	417	1068
281	418	1065
282	419	1061
283	420	1059
284	421	1057
285	422	1054
286	423	1052
287	424	1049
288	425	1046
289	426	1043
290	427	1040
291	427	1037
292	428	1034
293	429	1031
294	430	1029
295	431	1026
296	432	1023
297	433	1020
298	433	1017
299	435	1015
300	436	1013
301	437	1011
302	438	1008
303	439	1005
304	440	1003
305	441	1000
306	442	998
307	443	995
308	444	993
309	444	990
310	445	987
311	446	985
312	447	982
313	448	979
314	449	976
315	450	974
316	451	972
317	452	970
318	453	968
319	454	965
320	455	962
321	456	961
322	457	958
323	458	955
324	458	953
325	459	950
326	460	947
327	461	945
328	462	943
329	463	940
330	464	938
331	465	936
332	466	934
333	467	932
334	468	929
335	469	927
336	470	924
337	470	922
338	471	920
339	472	917
340	473	915
341	474	913
342	475	910
343	476	908
344	477	905
345	478	903
346	479	901
347	480	899
348	481	897
349	481	894
350	482	892
351	483	890
352	484	888
353	485	885
354	486	883
355	487	881
356	487	878
357	488	876
358	489	874
359	490	871
360	491	869
361	492	867
362	492	864
363	494	864
364	495	862
365	497	861
366	498	859
367	499	857
368	500	855
369	500	852
370	501	850
371	502	848
372	503	846
373	504	844
374	505	842
375	506	840
376	507	837
377	507	835
378	509	834
379	510	833
380	511	831
381	512	829
382	513	827
383	514	825
384	515	823
385	516	821
386	517	819
387	518	817
388	518	814
389	519	812
390	520	810
391	521	808
392	522	806
393	522	804
394	524	803
395	525	801
396	526	799
397	527	797
398	528	795
399	529	793
400	530	791
401	531	791
402	532	789
403	533	787
404	534	785
405	535	783
406	536	782
407	537	780
408	539	779
409	540	777
410	541	775
411	542	773
412	543	771
413	544	770
414	544	768
415	545	766
416	546	764
417	547	762
418	548	760
419	549	758
420	550	756
421	551	754
422	552	752
423	553	751
424	554	750
425	555	748
426	557	748
427	558	746
428	559	744
429	560	742
430	561	741
431	562	739
432	564	738
433	565	737
434	566	735
435	567	733
436	568	732
437	570	732
438	572	731
439	573	729
440	574	727
441	575	725
442	576	724
443	577	723
444	578	721
445	579	719
446	580	718
447	581	716
448	582	714
449	584	713
450	585	712
451	586	710
452	587	709
453	588	707
454	589	705
455	590	704
456	591	702
457	592	701
458	593	699
459	594	697
460	595	696
461	596	694
462	597	693
463	599	692
464	600	690
465	601	689
466	602	687
467	603	685
468	604	684
469	605	683
470	606	681
471	607	679
472	608	678
473	609	676
474	610	674
475	611	673
476	612	671
477	613	670
478	614	668
479	616	668
480	617	666
481	618	665
482	619	663
483	620	661
484	621	660
485	622	658
486	623	656
487	624	655
488	625	653
489	626	652
490	627	650
491	629	649
492	630	648
493	631	646
494	632	645
495	633	643
496	634	641
497	635	640
498	636	638
499	637	637
500	638	635
501	638	633
502	639	632
503	640	630
504	642	629
505	643	628
506	644	626
507	645	625
508	646	623
509	647	622
510	648	620
511	649	619
512	650	617
513	651	615
514	652	614
515	653	612
516	653	610
517	654	609
518	655	607
519	657	606
520	658	605
521	659	603
522	660	602
523	661	601
524	662	599
525	663	597
526	664	596
527	665	594
528	666	593
529	667	591
530	667	589
531	668	588
532	670	587
533	671	585
534	672	584
535	673	583
536	674	581
537	675	580
538	676	578
539	677	577
540	678	575
541	679	574
542	680	572
543	681	571
544	682	569
545	683	568
546	684	566
547	685	565
548	686	563
549	687	562
550	688	561
551	689	559
552	690	558
553	691	556
554	692	555
555	693	553
556	694	552
557	695	551
558	696	549
559	697	547
560	698	546
561	699	544
562	700	544
563	701	542
564	702	541
565	704	539
566	704	538
567	705	536
568	706	535
569	707	533
570	708	532
571	709	530
572	709	529
573	710	527
574	711	525
575	712	524
576	713	522
577	714	521
578	715	520
579	716	519
580	717	517
581	718	516
582	719	514
583	720	513
584	721	511
585	722	510
586	722	508
587	723	507
588	724	505
589	725	504
590	726	502
591	727	501
